Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
AVRO-3259,1.10.2,1.11.1,1.11.1,{1.10.2},1,2021-11-25,2022-02-10
AVRO-3263,1.10.2,1.11.1,1.11.1,{1.10.2},1,2021-12-12,2021-12-15
AVRO-3265,1.11.0,1.11.1,1.11.1,{1.11.0},1,2021-12-12,2021-12-22
AVRO-3269,1.10.2,1.11.1,1.11.1,{1.10.2},1,2021-12-13,2021-12-14
AVRO-3268,1.10.2,1.11.1,1.11.1,{1.10.2},1,2021-12-13,2021-12-14
AVRO-3266,1.10.2,1.11.1,1.11.1,{1.10.2},1,2021-12-13,2022-07-01
AVRO-3273,1.11.0,1.11.1,1.11.1,{1.11.0},1,2021-12-23,2022-01-20
AVRO-3316,1.10.2,1.11.1,1.11.1,{1.10.2},1,2022-01-20,2022-01-20
AVRO-3331,1.10.2,1.11.1,1.11.1,{1.10.2},1,2022-01-28,2022-02-02
AVRO-3370,1.10.2,1.11.1,1.11.1,{1.10.2},3,2022-02-04,2022-03-08
AVRO-3371,1.11.0,1.11.1,1.11.1,{1.11.0},1,2022-02-05,2022-02-07
AVRO-3375,1.11.0,1.11.1,1.11.1,{1.11.0},1,2022-02-07,2022-02-18
AVRO-3374,1.11.0,1.11.1,1.11.1,{1.11.0},2,2022-02-07,2022-06-24
AVRO-3380,1.11.0,1.11.1,1.11.1,{1.11.0},1,2022-02-09,2022-02-11
