@relation BOOKKEEPER_Generico

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
187,5,2,9,5,11,2,4,4,2,191,183,38.2,239,183,42.6,22,42.6,NO
576,3,0,28,10,13,10,12,3,2,576,550,192,602,550,196.333333,11,196.333333,NO
158,3,0,7,4,1,7,9,0,1,158,157,52.666667,164,157,53.666667,2,53.666667,NO
46,8,2,1,0,0,2,2,0,2,579,531,72.375,761,92,16,541,16,NO
27,2,0,1,0,0,0,0,1,1,131,79,65.5,133,79,40,53,40,NO
788,7,4,49,8,34,13,15,2,3,788,712,112.571429,896,712,120.285714,19,120.285714,NO
60,1,0,1,0,7,0,0,0,1,60,60,60,60,60,60,0,60,NO
62,5,1,1,2,0,3,5,0,1,159,88,31.8,235,36,14.8,109,14.8,NO
88,2,0,1,1,1,3,5,0,1,138,113,69,148,113,59,30,59,NO
52,2,0,1,1,0,2,2,0,1,54,53,27,58,53,27.5,3,27.5,NO
163,2,1,1,4,16,2,2,1,2,6,4,3,12,6,4.5,2,4.5,NO
91,1,0,1,0,0,2,2,1,1,91,91,91,91,91,91,0,91,NO
147,0,0,18,0,17,7,7,0,0,0,0,0,0,0,0,0,0,NO
58,1,0,3,1,2,2,2,1,1,58,58,58,58,58,58,0,58,NO
44,1,0,1,0,0,6,8,0,1,44,44,44,44,44,44,0,44,NO
139,1,1,1,0,1,1,1,0,1,2,2,2,22,12,12,10,12,NO
282,1,0,1,19,2,1,1,0,1,11,11,11,11,11,11,0,11,NO
582,6,3,11,16,17,4,12,10,3,116,68,19.333333,270,106,25.333333,67,25.333333,NO
800,4,1,29,17,24,11,21,10,2,72,62,18,110,73,22.75,11,22.75,NO
216,3,2,6,4,9,11,18,4,1,11,7,3.666667,27,9,6.333333,3,6.333333,NO
55,1,0,1,1,1,2,2,0,1,5,5,5,13,9,9,4,9,NO
184,3,2,2,6,4,2,7,2,2,3,2,1,17,4,2.666667,5,2.666667,NO
65,1,1,1,0,4,0,0,0,1,4,4,4,22,13,13,9,13,NO
150,2,1,4,2,2,4,8,4,1,7,7,3.5,59,25,13,32,13,NO
81,0,0,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0,NO
84,0,0,7,0,4,2,5,0,0,0,0,0,0,0,0,0,0,NO
905,9,5,20,20,30,9,16,11,3,143,65,15.888889,299,95,24.555556,30,24.555556,NO
312,5,2,10,6,3,7,10,1,3,64,44,12.8,76,44,14,4,14,NO
171,1,0,2,2,5,2,7,4,1,2,2,2,8,5,5,3,5,NO
153,6,3,4,2,6,1,5,9,3,49,46,8.166667,103,19,5,65,5,NO
84,1,0,1,1,1,3,7,0,1,17,17,17,35,26,26,9,26,NO
169,2,1,11,0,1,1,4,3,2,4,4,2,6,4,2.5,1,2.5,NO
189,3,1,9,1,6,8,12,4,2,16,15,5.333333,18,15,5.666667,1,5.666667,NO
127,5,3,6,1,3,1,4,5,2,24,14,4.8,94,37,11.8,23,11.8,NO
79,1,1,2,0,6,1,1,3,1,1,1,1,3,2,2,1,2,NO
90,1,1,5,1,3,0,0,1,1,3,3,3,47,25,25,22,25,NO
85,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NO
123,3,1,3,2,8,1,6,1,3,20,10,6.666667,22,10,6.666667,1,6.666667,NO
276,3,2,7,1,15,1,2,1,2,60,30,20,62,30,20.333333,1,20.333333,NO
549,6,4,11,1,39,2,3,0,2,182,110,30.333333,192,110,30.333333,9,30.333333,NO
27,1,0,1,0,0,0,1,0,1,27,27,27,27,27,27,0,27,NO
88,2,0,1,3,3,0,5,0,1,88,84,44,90,84,44.5,1,44.5,NO
283,4,3,14,3,9,5,11,5,3,30,23,7.5,42,23,9,4,9,NO
175,2,2,5,3,9,4,12,6,2,24,21,12,42,7,6,28,6,NO
507,4,4,25,5,25,9,18,6,2,25,16,6.25,65,15,7.25,31,7.25,NO
209,1,0,8,5,6,1,9,2,1,5,5,5,5,5,5,0,5,NO
147,1,1,1,0,9,1,2,3,1,3,3,3,7,5,5,2,5,NO
98,1,0,6,4,0,1,3,1,1,0,0,0,2,1,1,1,1,NO
132,1,1,8,1,3,6,6,0,1,132,132,132,132,132,132,0,132,NO
236,1,0,6,4,14,1,1,0,1,236,236,236,236,236,236,0,236,NO
227,3,2,2,10,11,7,13,7,2,46,26,15.333333,52,26,16.333333,2,16.333333,NO
172,3,2,1,1,0,0,0,0,2,18,8,6,22,10,6.666667,2,6.666667,NO
507,9,4,14,17,15,7,17,7,2,114,59,12.666667,192,61,17,22,17,NO
90,1,0,1,0,8,2,2,5,1,90,90,90,90,90,90,0,90,NO
58,1,0,1,0,6,0,0,1,1,58,58,58,58,58,58,0,58,NO
132,0,0,5,1,3,3,7,0,0,0,0,0,0,0,0,0,0,NO
529,4,0,22,6,24,15,17,1,1,4,3,1,22,5,2.25,8,2.25,NO
694,10,5,57,12,19,7,33,8,3,107,43,10.7,295,48,19.3,44,19.3,NO
148,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,NO
174,0,0,16,1,1,4,6,3,0,0,0,0,0,0,0,0,0,NO
148,0,0,9,0,2,3,5,2,0,0,0,0,0,0,0,0,0,NO
92,1,0,6,2,0,2,5,2,1,0,0,0,4,2,2,2,2,NO
77,1,0,1,1,1,1,4,0,1,77,77,77,77,77,77,0,77,NO
664,2,0,40,8,3,6,6,0,1,665,665,332.5,667,665,333,1,333,NO
55,1,0,1,0,0,1,2,0,1,55,55,55,55,55,55,0,55,NO
256,3,1,18,14,5,10,21,3,2,22,19,7.333333,64,33,14.333333,14,14.333333,NO
54,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,NO
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
98,0,0,3,2,3,4,4,0,0,0,0,0,0,0,0,0,0,NO
