Class Name,Release ID, Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,1,94,3,0,3,2,6,2,4,0,2,94,93,31.333333333333332,100,93,32.333333333333336,2,32.333333333333336,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,1,22,1,0,1,0,1,0,0,0,1,22,22,22.0,22,22,22.0,0,22.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,1,427,3,0,10,2,16,10,12,0,2,427,426,142.33333333333334,451,426,146.33333333333334,10,146.33333333333334,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,1,62,1,0,1,0,3,2,0,0,1,62,62,62.0,62,62,62.0,0,62.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,1,58,2,0,1,0,4,0,3,0,2,58,58,29.0,60,58,29.5,1,29.5,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,1,91,2,0,1,0,6,0,3,0,2,91,91,45.5,101,91,48.0,5,48.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,1,27,2,0,1,0,1,0,0,0,2,27,27,13.5,29,27,14.0,1,14.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,1,77,2,0,1,0,6,0,1,0,2,77,77,38.5,81,77,39.5,2,39.5,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,1,704,3,0,66,14,29,13,11,0,2,704,703,234.66666666666666,780,703,247.33333333333334,36,247.33333333333334,YES
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,1,63,2,0,1,0,3,0,1,0,2,63,63,31.5,71,63,33.5,4,33.5,NO
