@relation AVRO_Training_Set_17

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
549,10,3,11,12,20,6,6,1,2,606,382,60.6,648,382,59.9,17,59.9,NO
136,5,1,2,2,4,3,3,2,2,145,139,29,159,139,29.6,4,29.6,NO
40,1,0,2,0,1,1,1,0,1,41,41,41,41,41,41,0,41,NO
86,1,0,5,1,4,5,5,0,1,87,87,87,87,87,87,0,87,NO
90,1,0,4,0,5,5,5,0,1,91,91,91,91,91,91,0,91,NO
79,2,0,1,4,3,5,7,0,1,80,79,40,82,79,40.5,1,40.5,NO
85,2,0,4,0,1,6,8,0,1,85,84,42.5,87,84,43,1,43,NO
59,1,0,4,4,2,1,3,1,1,59,59,59,59,59,59,0,59,NO
112,2,0,6,1,1,9,9,0,1,113,112,56.5,119,112,58,3,58,NO
52,1,0,2,1,2,3,3,0,1,52,52,52,52,52,52,0,52,NO
157,1,0,1,0,5,3,3,2,1,157,157,157,157,157,157,0,157,NO
74,1,0,1,0,7,0,0,0,1,74,74,74,74,74,74,0,74,NO
230,2,0,14,8,8,7,9,14,1,231,230,115.5,237,230,117,3,117,NO
211,2,0,10,9,3,7,9,13,1,212,211,106,216,211,107,2,107,NO
55,1,0,2,1,1,3,7,1,1,56,56,56,56,56,56,0,56,NO
29,1,0,4,0,0,0,0,0,1,29,29,29,29,29,29,0,29,NO
111,2,0,1,6,4,6,8,0,1,112,111,56,114,111,56.5,1,56.5,NO
98,2,0,4,0,3,6,8,0,1,99,98,49.5,101,98,50,1,50,NO
