Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
BOOKKEEPER-568,4.2.0,4.2.1,4.2.1,{4.2.0},1,2013-02-11,2013-02-15
BOOKKEEPER-569,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-02-13,2013-02-16
BOOKKEEPER-579,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-02-27,2013-03-08
BOOKKEEPER-580,4.2.1,4.2.1,4.2.2,{4.2.1},1,2013-02-27,2013-08-23
BOOKKEEPER-578,4.2.1,4.2.1,4.4.0,{4.2.1},1,2013-02-27,2016-04-05
BOOKKEEPER-581,4.2.0,4.2.1,4.2.1,{4.2.0 / 4.2.1},1,2013-03-05,2013-03-25
BOOKKEEPER-584,4.2.0,4.2.1,4.2.2,{4.2.0},1,2013-03-12,2013-04-26
BOOKKEEPER-585,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-03-14,2013-03-17
BOOKKEEPER-586,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-03-20,2013-03-25
BOOKKEEPER-594,4.2.1,4.2.1,4.4.0,{4.2.1},1,2013-03-26,2016-03-16
BOOKKEEPER-596,4.2.0,4.2.2,4.2.2,{4.2.0 / 4.2.1},1,2013-03-28,2013-07-26
BOOKKEEPER-597,4.2.1,4.2.2,4.2.2,{4.2.1},1,2013-04-02,2013-04-02
